s	label	def	source	parent
sesrs:anthropogenic_nonconsolidated_material	Anthropogenic nonconsolidated material	Non-consolidated material known to have artificial (human-related) origin.	This vocabulary	sesrs:nonconsolidated_material
sesrs:natural_nonconsolidated_material	Natural nonconsolidated material	Nonconsolidated material known to have natural, ie. not human-made, origin.	This vocabulary	sesrs:nonconsolidated_material
sesrs:carbonate_ooze	carbonate ooze	ooze that consists of more than 50 percent carbonate skeletal remains	This vocabulary	sesrs:ooze
sesrs:siliceous_ooze	siliceous ooze	Ooze that consists of more than 50 percent siliceous skeletal remains	This vocabulary	sesrs:ooze
sesrs:peat	peat	Unconsolidated organic-rich sediment composed of at least 50 percent semi-carbonised plant remains; individual remains commonly seen with unaided eye; yellowish brown to brownish black; generally fibrous texture; can be plastic or friable. In its natural state it can be readily cut and has a very high moisture content, generally greater than 90 percent. Liptinite to Inertinite ratio is less than one (Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp.)	Hallsworth and Knox 1999	sesrs:organic_rich_sediment
sesrs:sapropel	sapropel	Jelly like organic rich sediment composed of plant remains, usually algal. Liptinite to Inertinite ratio is greater than one (Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp.)	Neuendorf et al. 2005	sesrs:organic_rich_sediment
sesrs:organic_rich_sediment	organic rich sediment	Sediment with color, composition, texture and apparent density indicating greater than 50 percent organic content by weight on a moisture-free basis.	SLTTs 2004	sesrs:organic_rich_sedimentary_material
rksd:Organic_Rich_Sedimentary_Rock	organic rich sedimentary rock	Sedimentary rock with color, composition, texture and apparent density indicating greater than 50 percent organic content by weight on a moisture-free basis.	SLTTs 2004	sesrs:organic_rich_sedimentary_material
rksd:Phosphate_Rich_Sediment	phosphate rich sediment	Sediment in which at least 50 percent of the primary and/or recrystallized constituents are phosphate minerals.	SLTTs 2004	sesrs:phosphate_rich_sedimentary_material
rksd:Phosphorite	phosphorite	Sedimentary rock in which at least 50 percent of the primary or recrystallized constituents are phosphate minerals. Most commonly occurs as a bedded primary or reworked secondary marine rock, composed of microcrystalline carbonate fluorapatite in the form of lamina, pellets, oolites and nodules, and skeletal, shell and bone fragments.	HallsworthandKnox 1999, Jackson 1997	sesrs:phosphate_rich_sedimentary_material
sesrs:pure_calcareous_carbonate_sediment	pure calcareous carbonate sediment	Carbonate sediment in which greater than 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin, and a calcite (plus aragonite) to dolomite ratio greater than 1 to 1.	This vocabulary	sesrs:pure_carbonate_sediment
sesrs:pure_dolomitic_sediment	pure dolomitic sediment	Carbonate sediment in which greater than 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin, and a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	This vocabulary	sesrs:pure_carbonate_sediment
sesrs:dolostone	dolomite	Pure carbonate sedimentary rock with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	This vocabulary	sesrs:pure_carbonate_sedimentary_rock
sesrs:limestone	limestone	Pure carbonate sedimentary rock with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1. Includes limestone and dolomitic limestone.	This vocabulary	sesrs:pure_carbonate_sedimentary_rock
sesrs:pure_carbonate_mudstone	pure carbonate mudstone	Mudstone that consists of greater than 90 percent carbonate minerals of intrabasinal orign in the mud fraction, and contains less than 10 percent allochems. The original depositional texture is preserved and fabric is matrix supported. Carbonate mudstone of Dunham (1962)	Dunham 1962	sesrs:pure_carbonate_sedimentary_rock
sesrs:carbonate_sedimentary_material	Carbonate sedimentary material	Sedimentary material in which at least 50 percent of the primary and/or recrystallized constituents are composed of one (or more) of the carbonate minerals calcite, aragonite and dolomite, in particles of intrabasinal origin.	SLTTs 2004	sesrs:sedimentary_material
mat:sediment	Sediment	Solid granular material transported by wind, water, or gravity, not modified by interaction with biosphere or atmosphere (to differentiate from soil). Particles derived by erosion of pre-existing rock, from shell or other body parts from organisms, precipitated chemically in the surficial environment, or generated by explosive volcanic activity. (http://resource.geosciml.org/classifier/cgi/lithology/sediment). Sediment is not consolidated, i.e. Particulate constituents of a compound material do not adhere to each other strongly enough that the aggregate can be considered a solid material in its own right. Similar to http://purl.obolibrary.org/obo/ENVO_00002007	SLTTs 2004	sesrs:sedimentary_material
mat:sediment	Sediment	Solid granular material transported by wind, water, or gravity, not modified by interaction with biosphere or atmosphere (to differentiate from soil). Particles might be derived by erosion of pre-existing rock, from shell or other body parts from organisms, precipitated chemically in the surficial environment, or generated by explosive volcanic activity. (http://resource.geosciml.org/classifier/cgi/lithology/sediment). Sediment is not consolidated, i.e. the particulate constituents do not adhere to each other strongly enough that the aggregate can be considered a solid material in its own right. Similar to http://purl.obolibrary.org/obo/ENVO_00002007	SLTTs 2004	sesrs:sedimentary_material
mat:sediment	Sediment	Unconsolidated material consisting of an aggregation of particles transported or deposited by air, water or ice, or that accumulated by other natural agents, such as chemical precipitation, and that forms in layers on the Earth's surface. Includes epiclastic deposits.	SLTTs 2004	sesrs:sedimentary_material
rksd:Sedimentary_Rock	Sedimentary rock	Rock formed by accumulation and cementation of solid fragmental material deposited by air, water or ice, or as a result of other natural agents, such as precipitation from solution, the accumulation of organic material, or from biogenic processes, including secretion by organisms. Includes epiclastic deposits.	SLTTs 2004	sesrs:sedimentary_material
rksd:Chemical_Sedimentary_Material	chemical sedimentary material	Sedimentary material that consists of at least 50 percent material produced by inorganic chemical processes within the basin of deposition. Includes inorganic siliceous, carbonate, evaporite, iron-rich, and phosphatic sediment classes, as well as chemical sediments associated with submarine hot springs ('black smokers'). Note that these sediments might crystallize as a solid as they are deposited, thus similar to rock....	SLTTs 2004	sesrs:sedimentary_material
sesrs:clastic_sedimentary_material	clastic sedimentary material	Sedimentary material of unspecified consolidation state in which at least 50 percent of the constituent particles were derived from erosion, weathering, or mass-wasting of pre-existing earth materials, and transported to the place of deposition by mechanical agents such as water, wind, ice and gravity.	SLTTs 2004; Neuendorf et al. 2005	sesrs:sedimentary_material
sesrs:non_clastic_siliceous_sedimentary_material	non clastic siliceous sedimentary material	Sedimentary material that consists of at least 50 percent silicate mineral material, deposited directly by chemical or biological processes at the depositional surface, or in particles formed by chemical or biological processes within the basin of deposition.	SLTTs 2004	sesrs:sedimentary_material
sesrs:organic_rich_sedimentary_material	organic rich sedimentary material	Sedimentary material in which 50 percent or more of the primary sedimentary material is organic carbon.	SLTTs 2004	sesrs:sedimentary_material
sesrs:phosphate_rich_sedimentary_material	phosphate rich sedimentary material	Sedimentary material in which at least 50 percent of the primary and/or recrystallized constituents are phosphate minerals.	SLTTs 2004	sesrs:sedimentary_material
sesrs:siliceous_ooze	siliceous ooze	Ooze that consists of more than 50 percent siliceous skeletal remains	This vocabulary	sesrs:silicate_mud
rksd:Hornblendite	hornblendite	Ultramafic rock that consists of greater than 40 percent hornblende plus pyroxene and has a hornblende to pyroxene ratio greater than 1. Includes olivine hornblendite, olivine-pyroxene hornblendite, pyroxene hornblendite, and hornblendite.	LeMaitre et al. 2002	sesrs:ultramafic_plutonic_rock
rksd:Peridotite	peridotite	Ultramafic rock consisting of more than 40 percent (by volume) olivine with pyroxene and/or amphibole and little or no feldspar. commonly altered to serpentinite. Includes rocks defined modally in the ultramafic rock classification as dunite, harzburgite, lherzolite, wehrlite, olivinite, pyroxene peridotite, pyroxene hornblende peridotite or hornblende peridotite.	LeMaitre et al. 2002	sesrs:ultramafic_plutonic_rock
rksd:Pyroxenite	pyroxenite	Ultramafic phaneritic igneous rock composed almost entirely of one or more pyroxenes and occasionally biotite, hornblende and olivine. Includes rocks defined modally in the ultramafic rock classification as olivine pyroxenite, olivine-hornblende pyroxenite, pyroxenite, orthopyroxenite, clinopyroxenite and websterite.	LeMaitre et al. 2002	sesrs:ultramafic_plutonic_rock
sesrs:Komatiitic_Rock	komatiitic rock	Ultramafic, magnesium-rich volcanic rock, typically with spinifex texture of intergrown skeletal and bladed olivine and pyroxene crystals set in abundant glass. Includes komatiite and meimechite.	LeMaitre et al. 2002	sesrs:ultramafic_volcanic_material
